Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
1,1.97,6.02,22.50,4.88
2,1.98,6.05,22.56,4.56
3,2.33,7.10,22.56,4.56
4,1.63,4.96,22.56,4.56
5,1.63,4.98,22.56,4.55
6,1.98,6.04,22.56,4.56
7,2.25,6.87,22.56,4.54
8,1.54,4.71,22.56,4.54
9,2.14,6.51,22.56,4.55
10,2.03,6.19,22.56,4.56
11,2.10,6.41,22.56,4.54
12,1.98,6.05,22.56,4.53
13,2.47,7.53,22.56,4.56
14,2.18,6.65,22.56,4.54
15,1.90,5.80,22.56,4.55
16,1.93,5.87,22.56,4.55
17,2.13,6.50,22.56,4.56
18,0.96,2.92,22.56,4.53
19,1.92,5.86,22.56,4.56
20,1.79,5.46,22.56,4.55
21,1.95,5.93,22.56,4.55
22,1.99,6.08,22.56,4.53
23,2.71,8.26,22.56,4.56
24,2.39,7.30,22.56,4.54
25,1.96,5.96,22.56,4.55
26,1.46,4.46,22.56,4.55
27,2.23,6.81,22.56,4.55
28,1.74,5.29,22.56,4.56
29,1.34,4.10,22.56,4.55
30,1.92,5.84,22.56,4.55
31,2.24,6.83,22.56,4.55
32,1.80,5.49,22.56,4.55
33,1.82,5.55,22.56,4.54
34,2.60,7.92,22.56,4.55
35,1.07,3.25,22.56,4.55
36,1.86,5.66,22.56,4.55
37,2.01,6.14,22.56,4.55
38,1.66,5.07,22.56,4.56
39,2.60,7.92,22.56,4.54
40,0.96,2.92,22.56,4.54
41,1.83,5.59,22.56,4.55
42,1.93,5.89,22.56,4.55
43,2.16,6.57,22.56,4.56
44,1.94,5.92,22.56,4.56
45,1.83,5.59,22.56,4.55
46,1.66,5.07,22.56,4.56
47,1.44,4.38,22.56,4.53
48,2.07,6.31,22.56,4.57
49,1.92,5.86,22.56,4.55
50,2.08,6.35,22.56,4.54
51,1.63,4.96,22.56,4.56
52,2.53,7.72,22.56,4.56
53,1.96,5.96,22.56,4.56
54,1.89,5.77,22.56,4.56
55,2.02,6.16,22.56,4.56
56,1.61,4.92,22.56,4.57
57,1.83,5.58,22.56,4.54
58,1.95,5.93,22.56,4.56
59,2.10,6.40,22.56,4.56
60,2.05,6.26,22.56,4.56
61,1.90,5.78,22.56,4.56
62,1.92,5.86,22.56,4.56
63,1.86,5.66,22.56,4.55
64,2.04,6.23,22.56,4.55
65,1.92,5.86,22.50,4.57
66,2.14,6.51,22.56,4.55
67,1.22,3.73,22.56,4.55
68,1.94,5.92,22.50,4.56
69,1.65,5.04,22.56,4.58
70,2.72,8.30,22.50,4.56
71,2.61,7.96,22.50,4.59
