Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
1,1.95,5.93,21.75,4.89
2,1.93,5.89,21.81,4.58
3,1.47,4.47,21.81,4.56
4,1.58,4.82,21.87,4.57
5,2.21,6.74,21.87,4.56
6,2.05,6.26,21.87,4.56
7,1.77,5.40,21.87,4.56
8,2.02,6.16,21.87,4.56
9,2.20,6.71,21.87,4.57
10,2.80,8.54,21.87,4.56
11,3.04,9.27,21.87,4.60
12,1.63,4.98,21.87,4.53
13,0.79,2.40,21.87,4.61
14,2.46,7.51,21.87,4.54
15,1.84,5.62,21.87,4.56
16,2.25,6.86,21.87,4.56
17,2.02,6.17,21.87,4.56
18,2.20,6.72,21.87,4.56
19,1.69,5.14,21.87,4.56
20,2.27,6.92,21.87,4.56
21,2.35,7.17,21.94,4.56
22,2.76,8.42,21.87,4.51
23,2.62,7.99,21.94,4.62
24,0.80,2.43,21.94,4.54
25,2.74,8.35,21.94,4.63
26,1.51,4.59,21.94,4.52
27,2.36,7.20,21.94,4.58
28,2.01,6.14,21.94,4.57
29,1.96,5.99,21.94,4.57
30,1.98,6.04,21.94,4.53
31,1.03,3.13,21.94,4.63
32,1.73,5.28,21.94,4.59
33,2.41,7.35,21.94,4.59
34,1.66,5.07,21.94,4.61
35,1.36,4.14,21.94,4.58
36,1.94,5.90,21.94,4.58
37,1.99,6.08,21.94,4.58
38,1.80,5.49,21.94,4.56
39,1.94,5.90,21.94,4.58
40,1.76,5.37,21.94,4.57
41,2.07,6.32,21.94,4.57
42,2.13,6.48,21.94,4.51
43,2.33,7.10,22.00,4.59
44,2.81,8.56,22.00,4.61
45,2.74,8.36,22.00,4.56
46,1.97,6.02,22.00,4.56
47,1.74,5.29,22.00,4.56
48,2.20,6.72,22.00,4.58
49,2.27,6.92,22.00,4.57
50,2.28,6.95,22.00,4.54
51,2.40,7.32,22.00,4.55
52,1.38,4.22,22.00,4.53
53,1.08,3.28,22.00,4.60
54,1.94,5.90,22.00,4.59
55,0.94,2.86,22.00,4.51
56,1.74,5.32,22.00,4.53
57,2.11,6.42,22.00,4.57
58,1.99,6.08,22.00,4.56
59,2.23,6.80,22.00,4.54
60,2.06,6.29,22.00,4.56
61,1.87,5.69,22.00,4.56
62,2.18,6.66,22.06,4.57
63,2.10,6.40,22.00,4.56
64,2.16,6.57,22.00,4.57
65,2.00,6.10,22.06,4.57
66,1.98,6.04,22.06,4.58
67,1.76,5.37,22.06,4.57
68,2.04,6.22,22.06,4.55
69,1.73,5.28,22.06,4.56
70,2.22,6.78,22.06,4.55
71,1.85,5.65,22.06,4.58
72,1.81,5.53,22.06,4.55
73,2.73,8.32,22.06,4.58
74,2.22,6.78,22.06,4.58
75,1.96,5.99,22.06,4.51
76,1.91,5.81,22.06,4.57
77,2.06,6.29,22.06,4.56
78,1.24,3.79,22.06,4.58
79,1.97,6.01,22.06,4.58
80,2.00,6.11,22.06,4.59
81,2.03,6.20,22.06,4.59
82,2.00,6.10,22.06,4.57
83,2.12,6.47,22.06,4.55
84,1.61,4.92,22.06,4.55
85,2.84,8.68,22.06,4.58
86,0.94,2.88,22.06,4.61
87,1.72,5.25,22.06,4.57
88,1.96,5.96,22.06,4.58
89,1.99,6.07,22.06,4.58
90,1.80,5.50,22.06,4.57
91,1.88,5.74,22.12,4.58
92,2.81,8.57,22.12,4.60
93,2.62,8.01,22.12,4.58
94,2.02,6.17,22.12,4.57
95,1.51,4.59,22.12,4.58
96,1.79,5.47,22.12,4.57
97,2.08,6.34,22.12,4.58
98,2.17,6.60,22.12,4.56
99,1.97,6.02,22.12,4.58
100,2.64,8.06,22.12,4.46
101,2.46,7.51,22.12,4.67
102,1.24,3.79,22.12,4.56
103,2.00,6.10,22.12,4.58
104,1.80,5.50,22.12,4.56
105,2.09,6.38,22.12,4.55
106,1.96,5.98,22.12,4.58
107,2.06,6.28,22.12,4.57
108,2.08,6.35,22.12,4.59
109,2.19,6.69,22.12,4.60
110,2.00,6.11,22.12,4.58
111,1.64,4.99,22.12,4.58
112,1.94,5.90,22.12,4.58
113,1.82,5.55,22.12,4.57
114,1.93,5.89,22.12,4.65
115,2.17,6.63,22.12,4.57
116,2.18,6.65,22.19,4.57
117,2.08,6.34,22.19,4.57
118,2.12,6.45,22.19,4.56
119,2.05,6.26,22.19,4.56
120,1.80,5.49,22.19,4.56
121,1.99,6.07,22.19,4.58
122,1.97,6.02,22.19,4.57
123,1.84,5.62,22.19,4.55
124,2.22,6.77,22.19,4.57
125,2.03,6.20,22.19,4.57
126,1.97,6.01,22.19,4.53
127,1.51,4.61,22.19,4.60
128,2.02,6.16,22.19,4.56
129,2.81,8.57,22.19,4.56
130,1.02,3.12,22.19,4.55
131,1.59,4.84,22.19,4.61
132,2.03,6.20,22.19,4.57
133,2.70,8.24,22.19,4.60
134,1.88,5.72,22.19,4.66
135,1.97,6.02,22.19,4.52
136,1.07,3.25,22.19,4.59
137,2.61,7.95,22.19,4.50
138,2.87,8.75,22.19,4.66
139,1.13,3.46,22.19,4.55
140,1.84,5.62,22.19,4.57
141,1.32,4.04,22.19,4.58
142,1.78,5.43,22.19,4.56
143,1.97,6.02,22.19,4.57
144,1.99,6.08,22.19,4.56
145,2.12,6.45,22.19,4.57
146,1.94,5.90,22.19,4.55
147,2.14,6.51,22.25,4.55
148,2.00,6.11,22.25,4.57
149,1.95,5.93,22.25,4.57
150,2.07,6.31,22.25,4.57
151,1.21,3.70,22.25,4.58
152,1.92,5.84,22.25,4.57
153,1.36,4.16,22.25,4.61
154,1.50,4.58,22.25,4.55
155,1.40,4.28,22.25,4.57
156,2.00,6.11,22.25,4.59
157,1.10,3.35,22.25,4.59
158,2.69,8.21,22.25,4.55
159,2.64,8.05,22.25,4.57
160,1.52,4.64,22.25,4.57
161,2.51,7.66,22.25,4.48
162,2.06,6.28,22.25,4.59
163,1.10,3.37,22.25,4.53
164,2.77,8.45,22.25,4.59
165,1.77,5.41,22.25,4.56
166,1.86,5.68,22.25,4.57
167,1.86,5.66,22.25,4.57
168,1.99,6.07,22.25,4.57
169,1.48,4.52,22.25,4.58
170,2.05,6.25,22.25,4.60
171,2.07,6.31,22.25,4.56
172,2.40,7.33,22.25,4.58
173,2.17,6.60,22.25,4.58
174,0.90,2.76,22.25,4.62
175,2.30,7.02,22.25,4.56
176,0.83,2.52,22.25,4.53
177,2.57,7.84,22.25,4.64
178,1.34,4.08,22.25,4.61
179,2.17,6.62,22.25,4.54
180,2.12,6.45,22.25,4.59
181,1.82,5.55,22.25,4.59
182,1.59,4.84,22.25,4.57
183,1.87,5.69,22.25,4.59
184,1.96,5.98,22.25,4.59
185,1.90,5.80,22.25,4.58
186,1.97,6.02,22.25,4.64
187,2.68,8.18,22.25,4.59
188,1.97,6.01,22.25,4.60
189,2.23,6.81,22.25,4.57
190,1.69,5.16,22.25,4.58
191,1.77,5.41,22.25,4.59
192,2.38,7.26,22.31,4.56
193,1.70,5.17,22.25,4.58
194,1.91,5.83,22.25,4.59
195,1.98,6.05,22.31,4.59
196,1.88,5.74,22.25,4.58
197,1.95,5.93,22.31,4.56
198,2.06,6.28,22.31,4.58
199,2.22,6.77,22.31,4.59
200,2.02,6.16,22.31,4.57
