Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
201,2.33,7.10,40.63
202,1.48,4.50,40.56
203,2.92,8.91,40.50
204,2.99,9.11,40.50
205,3.08,9.39,40.44
206,3.51,10.70,40.38
207,3.97,12.12,40.38
208,3.07,9.38,40.31
209,3.69,11.25,40.25
210,3.57,10.90,40.25
211,2.16,6.57,40.19
212,3.03,9.24,40.13
213,3.11,9.48,40.06
214,3.57,10.90,40.00
215,1.05,3.19,39.94
216,3.89,11.85,39.88
217,4.13,12.61,39.81
218,2.12,6.47,39.69
219,3.22,9.82,39.69
220,1.54,4.70,39.56
221,1.28,3.91,39.50
222,4.76,14.50,39.44
223,3.60,10.99,39.38
224,1.96,5.96,39.31
225,2.25,6.86,39.25
226,3.30,10.08,39.25
227,2.64,8.06,39.19
228,3.63,11.08,39.13
229,4.74,14.45,39.06
230,4.92,15.01,38.94
231,4.91,14.98,38.88
232,1.58,4.83,38.81
233,4.50,13.71,38.69
234,1.26,3.85,38.63
235,1.09,3.31,38.63
236,2.73,8.33,38.56
237,3.92,11.96,38.50
238,3.82,11.66,38.44
239,2.94,8.97,38.38
240,3.03,9.24,38.31
241,3.52,10.73,38.25
242,3.47,10.58,38.19
243,3.57,10.90,38.13
244,2.13,6.50,38.00
245,3.17,9.66,38.00
246,3.84,11.72,37.88
247,3.24,9.88,37.81
248,4.28,13.06,37.69
249,1.24,3.79,37.63
250,1.87,5.71,37.56
251,2.52,7.69,37.44
252,3.81,11.61,37.38
253,3.70,11.30,37.31
254,1.52,4.62,37.25
255,3.51,10.70,37.13
256,2.84,8.68,37.06
257,2.99,9.12,37.00
258,4.04,12.33,36.94
259,1.84,5.61,36.88
260,1.96,5.96,36.75
261,2.57,7.84,36.69
262,3.48,10.61,36.63
263,2.33,7.10,36.56
264,4.27,13.01,36.50
265,1.52,4.65,36.44
266,3.87,11.81,36.31
267,2.30,7.01,36.25
268,3.92,11.97,36.19
269,3.88,11.84,36.06
270,1.79,5.46,36.00
271,2.11,6.44,35.94
272,4.72,14.39,35.88
273,2.57,7.83,35.81
274,1.96,5.96,35.75
275,4.03,12.30,35.69
276,1.36,4.14,35.56
277,2.70,8.24,35.50
278,1.17,3.58,35.38
279,4.83,14.74,35.31
280,1.97,6.02,35.25
281,2.92,8.90,35.19
282,1.88,5.72,35.13
283,3.23,9.85,35.06
284,4.04,12.33,35.00
285,1.83,5.58,34.94
286,3.54,10.81,34.88
287,2.86,8.72,34.81
288,2.77,8.45,34.75
289,2.45,7.48,34.75
290,2.69,8.20,34.69
291,4.31,13.13,34.63
292,3.48,10.63,34.56
293,3.02,9.21,34.50
294,1.57,4.80,34.44
295,1.28,3.91,34.38
296,2.89,8.83,34.31
297,1.66,5.07,34.25
298,3.34,10.18,34.25
299,3.35,10.21,34.19
300,1.91,5.81,34.13
301,2.93,8.93,34.06
302,2.86,8.72,34.06
303,2.89,8.83,34.00
304,2.06,6.29,33.94
305,3.15,9.62,33.88
306,2.84,8.68,33.88
307,3.06,9.35,33.81
308,2.83,8.62,33.75
309,3.33,10.17,33.69
310,0.85,2.58,33.63
311,2.84,8.66,33.63
312,2.95,8.99,33.56
313,2.85,8.71,33.50
314,2.95,9.00,33.50
315,2.40,7.33,33.44
316,2.54,7.74,33.38
317,2.89,8.83,33.31
318,2.87,8.75,33.25
319,3.82,11.66,33.19
