Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
1,2.14,6.53,22.12,4.87
2,2.13,6.48,22.12,4.86
3,2.17,6.63,22.12,4.86
4,2.09,6.38,22.19,4.86
5,2.14,6.51,22.19,4.86
6,2.14,6.53,22.19,4.86
7,2.11,6.44,22.19,4.78
8,2.25,6.87,22.25,4.50
9,2.66,8.11,22.25,4.47
10,1.16,3.55,22.25,4.47
11,1.51,4.59,22.25,4.57
12,1.81,5.52,22.25,4.54
13,1.80,5.49,22.25,4.53
14,2.08,6.34,22.25,4.50
15,2.70,8.24,22.25,4.52
16,1.91,5.83,22.25,4.51
17,2.25,6.87,22.25,4.51
18,2.39,7.29,22.25,4.51
19,1.33,4.05,22.25,4.57
20,3.00,9.15,22.25,4.56
21,2.18,6.65,22.25,4.52
22,1.96,5.96,22.25,4.52
23,2.17,6.63,22.25,4.52
24,1.74,5.32,22.25,4.53
25,2.07,6.32,22.25,4.53
26,2.90,8.84,22.25,4.48
27,1.53,4.68,22.25,4.52
28,2.23,6.81,22.25,4.52
29,2.32,7.08,22.25,4.52
30,2.27,6.93,22.25,4.52
31,2.04,6.23,22.25,4.52
32,2.05,6.25,22.25,4.52
33,2.36,7.20,22.25,4.52
34,1.90,5.80,22.25,4.52
35,2.23,6.81,22.25,4.52
36,1.93,5.87,22.25,4.53
37,2.26,6.90,22.25,4.52
38,2.11,6.44,22.25,4.52
39,1.92,5.86,22.25,4.52
40,2.70,8.24,22.25,4.51
41,2.88,8.78,22.25,4.50
42,2.94,8.97,22.25,4.53
43,1.17,3.56,22.25,4.52
44,2.53,7.71,22.25,4.51
45,1.33,4.07,22.25,4.51
46,2.05,6.25,22.25,4.52
47,2.13,6.50,22.25,4.53
48,1.92,5.84,22.25,4.52
49,1.68,5.11,22.25,4.53
50,2.10,6.40,22.25,4.52
51,2.42,7.38,22.25,4.52
52,2.08,6.34,22.25,4.52
53,2.11,6.42,22.25,4.53
54,2.20,6.71,22.25,4.52
55,2.09,6.38,22.25,4.53
56,2.10,6.41,22.25,4.53
57,2.43,7.41,22.25,4.51
58,2.65,8.09,22.25,4.53
59,2.22,6.78,22.25,4.53
60,2.08,6.35,22.25,4.53
61,2.09,6.38,22.25,4.53
62,1.95,5.93,22.25,4.53
63,2.08,6.34,22.25,4.54
64,2.10,6.40,22.25,4.51
65,1.59,4.86,22.25,4.54
66,2.07,6.31,22.25,4.54
67,2.15,6.54,22.25,4.53
68,1.74,5.31,22.25,4.53
69,2.15,6.54,22.25,4.53
70,1.96,5.98,22.25,4.53
71,2.09,6.38,22.25,4.53
72,1.88,5.74,22.25,4.53
73,2.11,6.42,22.25,4.53
74,2.18,6.65,22.25,4.53
75,2.41,7.35,22.25,4.54
76,2.10,6.40,22.25,4.51
77,1.69,5.16,22.25,4.54
78,2.12,6.47,22.25,4.52
79,2.17,6.63,22.25,4.52
80,2.29,6.98,22.25,4.54
81,1.55,4.74,22.25,4.51
82,2.25,6.86,22.25,4.53
83,2.12,6.45,22.31,4.52
84,2.10,6.40,22.31,4.49
85,0.94,2.88,22.31,4.58
86,2.31,7.04,22.31,4.49
87,2.20,6.71,22.25,4.52
88,2.11,6.44,22.25,4.53
89,2.10,6.41,22.25,4.50
90,0.97,2.97,22.31,4.53
91,2.62,7.99,22.25,4.59
92,1.93,5.89,22.25,4.54
93,2.00,6.10,22.25,4.53
94,1.98,6.04,22.31,4.53
95,2.10,6.41,22.31,4.53
96,2.10,6.41,22.25,4.53
97,2.23,6.80,22.31,4.53
98,2.10,6.40,22.31,4.53
99,2.13,6.48,22.31,4.53
100,2.35,7.16,22.31,4.51
101,1.77,5.41,22.31,4.54
102,2.68,8.17,22.31,4.55
103,1.09,3.34,22.31,4.53
104,2.28,6.96,22.31,4.51
105,2.03,6.20,22.31,4.54
106,2.17,6.63,22.31,4.54
107,2.00,6.11,22.31,4.55
108,2.28,6.95,22.31,4.53
109,2.09,6.37,22.31,4.54
110,1.98,6.05,22.31,4.54
111,2.45,7.47,22.31,4.55
112,1.04,3.16,22.31,4.48
113,3.11,9.48,22.31,4.57
114,2.17,6.60,22.31,4.54
115,2.30,7.02,22.31,4.54
116,2.64,8.05,22.31,4.55
117,2.92,8.90,22.31,4.56
118,2.05,6.25,22.31,4.54
119,2.15,6.56,22.31,4.54
120,2.09,6.37,22.31,4.54
121,2.13,6.48,22.31,4.54
122,2.09,6.37,22.31,4.54
123,2.03,6.19,22.31,4.54
124,2.11,6.44,22.31,4.53
125,2.07,6.31,22.31,4.55
126,2.07,6.31,22.31,4.54
127,2.37,7.22,22.31,4.54
128,2.14,6.51,22.31,4.54
129,1.93,5.87,22.31,4.53
130,1.94,5.90,22.31,4.53
131,2.11,6.44,22.31,4.53
132,2.25,6.86,22.31,4.53
133,2.13,6.50,22.31,4.53
134,2.05,6.26,22.31,4.54
135,2.14,6.51,22.31,4.54
136,2.13,6.50,22.31,4.55
137,2.09,6.37,22.31,4.54
138,1.97,6.02,22.31,4.53
139,2.02,6.16,22.31,4.52
140,2.23,6.81,22.31,4.53
141,2.59,7.90,22.31,4.59
142,2.09,6.37,22.31,4.49
143,2.11,6.42,22.31,4.53
144,1.64,5.01,22.31,4.48
145,2.09,6.38,22.31,4.53
146,2.09,6.38,22.31,4.55
147,2.09,6.37,22.31,4.54
148,1.98,6.05,22.31,4.59
149,2.09,6.37,22.31,4.53
150,2.09,6.37,22.31,4.50
151,2.07,6.31,22.31,4.51
152,1.16,3.55,22.31,4.56
153,1.03,3.13,22.31,4.52
154,2.10,6.41,22.31,4.60
155,2.86,8.74,22.31,4.58
156,2.03,6.20,22.31,4.54
157,2.59,7.89,22.31,4.52
158,2.20,6.72,22.37,4.53
159,2.11,6.42,22.31,4.53
160,2.07,6.32,22.31,4.53
161,2.34,7.14,22.31,4.54
162,2.07,6.31,22.31,4.53
163,2.09,6.37,22.37,4.54
164,2.04,6.22,22.37,4.53
165,1.96,5.99,22.37,4.54
166,2.02,6.17,22.37,4.52
167,2.04,6.22,22.44,4.53
168,1.42,4.34,22.44,4.53
169,1.62,4.93,22.44,4.52
170,2.74,8.35,22.44,4.53
171,2.06,6.28,22.44,4.53
172,2.11,6.44,22.44,4.53
173,2.05,6.26,22.50,4.53
174,2.73,8.33,22.44,4.51
175,2.73,8.32,22.50,4.54
176,2.31,7.05,22.50,4.53
177,2.12,6.45,22.44,4.53
178,2.11,6.42,22.50,4.54
179,1.95,5.95,22.44,4.54
180,2.05,6.26,22.44,4.53
181,1.90,5.78,22.50,4.54
182,1.66,5.07,22.44,4.53
183,1.52,4.62,22.44,4.54
184,2.40,7.32,22.44,4.53
185,2.04,6.22,22.44,4.53
186,1.04,3.18,22.44,4.54
187,2.80,8.53,22.44,4.53
188,2.36,7.19,22.44,4.54
189,1.41,4.31,22.44,4.53
190,1.57,4.80,22.44,4.54
191,2.68,8.18,22.44,4.52
192,1.77,5.40,22.44,4.54
193,1.77,5.41,22.44,4.53
194,2.22,6.77,22.44,4.53
195,1.89,5.77,22.44,4.55
196,2.09,6.38,22.44,4.53
197,2.13,6.48,22.44,4.54
198,2.11,6.44,22.44,4.54
199,2.08,6.35,22.44,4.53
200,2.18,6.66,22.44,4.54
201,2.20,6.72,22.44,4.53
202,1.85,5.65,22.44,4.55
203,2.05,6.25,22.44,4.54
204,2.42,7.38,22.44,4.52
205,1.27,3.86,22.44,4.54
206,2.68,8.18,22.44,4.54
207,2.05,6.26,22.44,4.53
208,2.15,6.54,22.44,4.54
209,2.17,6.63,22.44,4.54
210,2.04,6.22,22.44,4.52
211,2.05,6.26,22.44,4.53
212,2.04,6.22,22.44,4.52
213,1.93,5.87,22.44,4.53
214,2.05,6.26,22.37,4.53
215,1.98,6.05,22.37,4.54
216,2.21,6.75,22.37,4.54
217,2.20,6.71,22.37,4.53
218,2.13,6.48,22.37,4.53
219,2.03,6.20,22.37,4.54
220,2.14,6.53,22.37,4.54
221,1.95,5.93,22.37,4.53
222,1.79,5.47,22.37,4.53
223,2.29,6.98,22.37,4.53
224,1.97,6.02,22.37,4.53
225,1.95,5.93,22.37,4.53
226,2.04,6.23,22.37,4.54
227,2.12,6.47,22.37,4.54
