Seria pomiarowa: Próba działania zapisywania
Opis serii pomiarowej: Próba działania zapisywania
Data: 19.09.2021, Godzina poczatkowa: 14:41, Godzina koncowa: 15:00, Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,9052,2.68,8.18,21.81,4.70
2,10543,2.72,8.29,21.81,4.70
3,12035,2.65,8.08,21.87,4.70
4,13526,2.67,8.15,21.87,4.50
5,15126,2.76,8.42,21.87,4.25
6,16726,2.38,7.26,21.87,4.24
7,18325,2.45,7.47,21.87,4.27
8,19926,2.49,7.59,21.94,4.24
9,21525,2.90,8.84,21.87,4.32
10,23128,2.87,8.77,21.94,4.33
11,24729,2.42,7.38,21.94,4.32
12,26330,2.87,8.75,21.94,4.45
13,27931,2.48,7.56,21.94,4.46
14,29532,2.42,7.38,21.94,4.21
15,31132,2.98,9.08,21.94,4.22
16,32734,2.28,6.95,21.94,4.37
17,34334,2.68,8.17,21.94,4.35
18,35936,2.58,7.86,21.94,4.34
19,37536,2.87,8.77,21.94,4.35
20,39137,2.94,8.96,21.94,4.33
21,40738,2.84,8.66,21.94,4.41
22,42339,2.80,8.54,22.00,4.38
23,43939,2.90,8.85,22.00,4.42
24,45541,2.55,7.78,22.00,4.43
25,47141,2.47,7.53,22.00,4.43
26,48743,2.85,8.69,22.00,4.50
27,50347,2.66,8.11,22.00,4.50
28,51947,2.62,8.01,22.00,4.50
29,53548,2.59,7.89,22.00,4.49
30,55149,2.84,8.68,22.00,4.49
31,56750,2.74,8.36,22.00,4.48
32,58351,2.61,7.98,22.00,4.48
33,59952,2.58,7.87,22.00,4.47
34,61552,2.89,8.81,22.00,4.47
35,63154,2.60,7.92,22.00,4.46
36,64647,2.51,7.65,22.00,4.46
37,66139,2.52,7.69,22.00,4.46
38,67632,2.76,8.41,22.00,4.45
39,69233,2.66,8.11,22.00,4.44
40,70725,2.58,7.87,22.00,4.44
41,72327,2.94,8.96,22.00,4.44
42,73820,2.76,8.41,22.00,4.44
43,75315,2.44,7.45,22.00,4.44
44,76808,2.74,8.35,22.00,4.42
45,78301,2.54,7.74,22.00,4.42
46,79794,2.96,9.03,22.00,4.42
47,81394,2.89,8.83,22.00,4.41
48,82995,2.80,8.54,22.00,4.41
49,84488,2.56,7.80,22.00,4.41
50,85981,2.83,8.62,22.00,4.41
51,87474,2.39,7.27,22.00,4.42
52,88967,2.69,8.21,22.00,4.41
53,90460,2.48,7.56,22.00,4.41
54,91953,2.67,8.14,22.00,4.41
55,93445,2.77,8.44,22.00,4.42
56,94938,2.46,7.50,22.00,4.41
57,96431,2.54,7.75,22.00,4.41
58,97924,2.65,8.08,22.00,4.41
59,99417,2.92,8.90,22.00,4.40
60,100912,2.52,7.68,22.00,4.41
61,102406,2.50,7.62,22.00,4.41
62,103900,2.46,7.51,22.00,4.41
63,105394,2.74,8.36,22.00,4.41
64,106888,2.81,8.56,22.00,4.41
65,108382,2.68,8.18,22.00,4.43
66,109876,2.66,8.12,22.00,4.41
67,111370,2.88,8.80,22.00,4.42
68,112864,2.83,8.62,22.00,4.42
69,114357,2.68,8.18,22.00,4.42
70,115851,2.46,7.50,22.00,4.42
71,117345,2.53,7.71,22.00,4.42
72,118839,2.55,7.78,22.00,4.43
73,120333,2.74,8.35,22.00,4.42
74,121827,2.65,8.08,22.00,4.43
75,123321,2.78,8.48,22.00,4.43
76,124818,2.72,8.30,22.00,4.42
77,126419,2.93,8.93,22.00,4.42
78,127913,2.83,8.62,22.00,4.41
79,129408,2.55,7.78,22.00,4.42
80,130902,2.63,8.02,22.00,4.42
81,132396,2.69,8.21,22.00,4.42
82,133890,2.34,7.13,22.00,4.42
83,135384,2.69,8.21,22.00,4.43
84,136878,2.58,7.86,22.00,4.42
85,138372,2.61,7.98,22.00,4.43
86,139865,2.81,8.57,22.00,4.43
87,141359,2.86,8.74,22.00,4.43
88,142853,2.47,7.54,22.00,4.43
89,144347,2.59,7.89,22.00,4.44
90,145841,2.41,7.35,22.00,4.44
91,147335,2.43,7.42,22.00,4.44
92,148832,2.66,8.12,22.00,4.44
93,150326,2.52,7.68,22.00,4.44
94,151820,2.66,8.12,22.00,4.43
95,153314,2.86,8.74,22.00,4.44
96,154808,2.74,8.35,22.00,4.44
97,156302,2.86,8.72,22.00,4.44
98,157795,2.68,8.18,22.00,4.44
99,159289,2.78,8.48,22.00,4.44
100,160783,2.59,7.90,22.00,4.45
101,162278,2.89,8.83,22.00,4.44
102,163773,2.89,8.83,22.00,4.45
103,165268,2.72,8.30,22.00,4.44
104,166763,2.86,8.72,22.00,4.44
105,168258,2.68,8.17,22.00,4.44
106,169753,2.85,8.71,22.00,4.44
107,171248,2.84,8.68,22.00,4.45
108,172746,2.50,7.62,22.00,4.44
109,174241,2.31,7.05,22.00,4.45
110,175736,2.80,8.53,22.00,4.46
111,177231,2.31,7.04,22.00,4.45
112,178726,2.53,7.72,22.00,4.45
113,180221,2.81,8.56,22.00,4.45
