Seria pomiarowa: Próba działania zapisywania
Opis serii pomiarowej: Próba działania zapisywania
Data: 19.09.2021, Godzina poczatkowa: 16:09, Godzina koncowa: 18:04, Pogoda: 
Pomiar,Czas w ms, Dzielnik, Panel, Temperatura, SredniaFoto
1,1253,2.16,6.59,21.37,4.85
2,2744,2.06,6.28,21.37,4.86
3,4235,2.12,6.45,21.37,4.86
4,5725,2.09,6.37,21.37,4.86
5,7216,1.98,6.05,21.44,4.87
6,8706,2.06,6.28,21.37,4.86
7,10196,1.99,6.07,21.44,4.87
8,11687,2.17,6.62,21.44,4.87
9,13179,2.05,6.25,21.44,4.87
10,14671,2.03,6.19,21.44,4.86
11,16166,2.24,6.84,21.44,4.87
12,17659,2.04,6.22,21.44,4.87
13,19152,1.89,5.77,21.44,4.87
14,20644,2.06,6.28,21.44,4.86
15,22137,2.07,6.31,21.44,4.88
16,23629,2.05,6.25,21.44,4.87
17,25122,1.88,5.74,21.44,4.87
18,26615,2.05,6.26,21.44,4.87
19,28107,2.04,6.23,21.50,4.87
20,29600,2.13,6.48,21.44,4.88
21,31093,2.03,6.19,21.50,4.88
22,32585,1.96,5.99,21.50,4.88
23,34078,2.01,6.14,21.50,4.87
24,35571,2.09,6.37,21.50,4.88
25,37063,2.10,6.40,21.50,4.88
26,38556,2.04,6.23,21.50,4.88
27,40051,2.02,6.16,21.50,4.87
28,41544,1.92,5.86,21.50,4.88
29,43037,2.01,6.13,21.50,4.88
30,44529,2.02,6.17,21.50,4.88
31,46022,2.02,6.17,21.50,4.89
32,47515,1.98,6.05,21.50,4.89
33,49007,1.97,6.01,21.50,4.87
34,50500,1.99,6.08,21.50,4.88
35,51992,1.99,6.08,21.50,4.88
36,53485,2.09,6.38,21.50,4.88
37,54978,1.98,6.05,21.50,4.88
38,56470,1.86,5.66,21.50,4.89
39,57963,1.97,6.01,21.50,4.89
40,59456,2.18,6.66,21.50,4.89
41,60948,1.96,5.99,21.50,4.89
42,62441,1.95,5.95,21.50,4.88
43,63934,1.90,5.80,21.50,4.89
44,65429,1.94,5.92,21.50,4.88
45,66922,2.02,6.17,21.50,4.88
46,68414,1.95,5.93,21.50,4.89
47,69907,1.94,5.92,21.50,4.89
48,71400,1.94,5.90,21.56,4.89
49,72892,1.99,6.07,21.50,4.89
50,74385,2.02,6.17,21.50,4.89
51,75878,1.97,6.01,21.50,4.89
52,77370,1.89,5.75,21.56,4.89
53,78863,1.82,5.56,21.50,4.89
54,80356,1.76,5.38,21.56,4.89
55,81848,1.96,5.96,21.50,4.89
56,83341,1.87,5.69,21.50,4.89
57,84834,1.76,5.38,21.50,4.89
58,86326,1.86,5.68,21.50,4.89
59,87819,2.13,6.50,21.56,4.89
60,89314,2.20,6.72,21.50,4.89
61,90807,1.95,5.93,21.56,4.89
62,92299,1.93,5.89,21.50,4.89
63,93792,1.86,5.66,21.56,4.89
64,95285,1.79,5.46,21.56,4.90
65,96778,1.95,5.93,21.56,4.89
66,98270,1.85,5.65,21.56,4.89
67,99763,1.94,5.92,21.56,4.89
68,101255,1.93,5.87,21.56,4.89
69,102749,1.97,6.02,21.56,4.89
70,104243,1.99,6.08,21.56,4.89
71,105737,1.97,6.01,21.56,4.89
72,107230,1.90,5.80,21.56,4.89
73,108724,1.85,5.65,21.56,4.89
74,110218,1.93,5.87,21.56,4.89
75,111712,1.92,5.84,21.56,4.89
76,113203,1.95,5.95,21.56,4.89
77,114697,1.90,5.78,21.56,4.89
78,116191,1.97,6.01,21.56,4.89
79,117684,1.85,5.63,21.56,4.89
80,119178,1.94,5.90,21.56,4.89
81,120672,1.90,5.78,21.56,4.89
82,122166,1.95,5.93,21.56,4.89
83,123659,1.96,5.99,21.56,4.89
84,125153,2.00,6.11,21.56,4.89
85,126647,2.04,6.23,21.56,4.89
86,128141,1.89,5.77,21.56,4.89
87,129634,1.91,5.81,21.56,4.89
88,131128,1.73,5.26,21.50,4.89
89,132622,2.10,6.41,21.56,4.89
90,134116,2.01,6.14,21.56,4.89
91,135609,2.00,6.11,21.50,4.89
92,137101,1.95,5.95,21.56,4.89
93,138595,1.90,5.80,21.56,4.89
94,140088,1.79,5.47,21.56,4.89
95,141582,1.91,5.81,21.50,4.89
96,143076,2.02,6.17,21.56,4.89
97,144570,1.96,5.96,21.50,4.89
98,146064,1.94,5.92,21.50,4.89
99,147557,1.93,5.89,21.50,4.90
100,149051,1.88,5.74,21.50,4.90
101,150546,1.90,5.78,21.50,4.89
102,152041,1.93,5.89,21.50,4.90
103,153536,1.96,5.99,21.50,4.90
104,155030,1.95,5.95,21.50,4.90
105,156525,1.93,5.89,21.50,4.89
106,158020,1.82,5.55,21.50,4.89
107,159515,1.93,5.89,21.50,4.90
108,161012,1.92,5.86,21.50,4.90
109,162507,1.87,5.69,21.50,4.90
110,164002,1.75,5.35,21.50,4.89
111,165497,1.90,5.78,21.50,4.90
112,166992,2.02,6.16,21.50,4.89
113,168486,1.95,5.95,21.50,4.90
114,169981,1.98,6.04,21.50,4.90
115,171476,1.93,5.89,21.50,4.89
116,172972,1.94,5.90,21.50,4.90
117,174467,1.92,5.84,21.50,4.90
118,175961,1.90,5.78,21.50,4.89
119,177456,1.89,5.77,21.50,4.90
120,178951,1.90,5.80,21.50,4.90
121,180446,2.09,6.38,21.50,4.90
122,181941,1.92,5.86,21.50,4.89
123,183435,1.92,5.84,21.50,4.90
124,184933,1.91,5.81,21.50,4.89
125,186428,1.90,5.80,21.50,4.89
126,187923,1.91,5.81,21.50,4.89
127,189417,1.96,5.99,21.50,4.90
128,190912,1.93,5.87,21.50,4.89
129,192407,1.96,5.98,21.50,4.90
130,193902,1.88,5.72,21.50,4.89
131,195397,1.94,5.92,21.50,4.90
132,196891,2.00,6.10,21.50,4.89
133,198386,1.75,5.35,21.50,4.89
134,199881,1.91,5.81,21.50,4.89
135,201376,1.93,5.89,21.50,4.89
136,202871,1.96,5.98,21.50,4.90
137,204365,1.90,5.80,21.50,4.89
138,205860,2.02,6.16,21.50,4.90
139,207358,1.98,6.04,21.50,4.90
140,208854,1.99,6.07,21.50,4.90
141,210348,1.97,6.02,21.50,4.90
142,211843,1.96,5.96,21.50,4.89
143,213338,1.92,5.86,21.50,4.90
144,214833,1.92,5.86,21.50,4.89
145,216328,1.73,5.26,21.50,4.90
146,217822,1.91,5.83,21.50,4.90
147,219317,1.92,5.86,21.50,4.89
148,220812,1.95,5.93,21.50,4.90
149,222307,2.01,6.13,21.50,4.89
