Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
171,2.24,6.83,22.12,4.55
172,2.19,6.68,22.12,4.54
173,2.18,6.66,22.12,4.54
174,1.21,3.70,22.12,4.56
175,2.58,7.87,22.12,4.53
176,2.81,8.56,22.12,4.56
177,2.49,7.59,22.12,4.54
178,2.49,7.60,22.12,4.56
179,1.31,4.01,22.12,4.54
180,2.77,8.45,22.12,4.55
181,2.10,6.41,22.12,4.54
182,1.99,6.07,22.12,4.54
183,2.46,7.51,22.12,4.54
184,2.11,6.44,22.12,4.54
185,2.46,7.51,22.12,4.54
186,2.16,6.59,22.12,4.54
187,2.22,6.77,22.12,4.54
188,2.01,6.13,22.12,4.54
189,2.32,7.08,22.12,4.54
190,2.13,6.48,22.12,4.54
191,1.99,6.08,22.12,4.54
192,2.09,6.37,22.12,4.54
193,2.22,6.77,22.12,4.53
194,2.47,7.53,22.12,4.54
195,2.03,6.19,22.12,4.54
196,2.38,7.24,22.12,4.54
197,2.12,6.47,22.12,4.54
198,2.06,6.28,22.12,4.54
199,2.10,6.41,22.12,4.55
200,2.17,6.62,22.12,4.54
201,2.61,7.95,22.12,4.54
202,2.27,6.93,22.12,4.54
203,2.42,7.39,22.12,4.55
204,2.09,6.37,22.12,4.53
205,2.15,6.54,22.12,4.54
206,2.07,6.32,22.12,4.54
207,1.91,5.83,22.12,4.54
208,1.71,5.22,22.12,4.55
209,2.17,6.62,22.12,4.54
210,2.04,6.22,22.12,4.54
211,2.69,8.21,22.12,4.54
212,1.37,4.17,22.12,4.54
213,1.91,5.81,22.12,4.56
214,2.14,6.53,22.12,4.54
215,2.24,6.83,22.12,4.52
216,2.10,6.40,22.12,4.54
217,1.82,5.56,22.12,4.56
218,2.01,6.14,22.12,4.54
219,2.01,6.13,22.12,4.54
220,1.62,4.93,22.12,4.54
221,2.10,6.41,22.12,4.54
222,1.95,5.93,22.12,4.54
223,2.03,6.19,22.12,4.54
224,1.56,4.76,22.12,4.54
225,2.31,7.05,22.12,4.54
226,2.11,6.44,22.12,4.54
227,2.03,6.19,22.12,4.54
228,1.93,5.89,22.12,4.54
229,2.01,6.13,22.12,4.54
230,2.08,6.34,22.12,4.54
231,2.01,6.13,22.12,4.52
232,2.24,6.84,22.12,4.53
233,1.84,5.61,22.12,4.54
234,2.24,6.84,22.12,4.53
235,2.27,6.93,22.12,4.53
236,1.87,5.71,22.12,4.54
237,2.21,6.75,22.12,4.54
238,2.18,6.65,22.12,4.55
239,2.19,6.68,22.12,4.55
240,1.96,5.99,22.12,4.55
241,2.26,6.90,22.12,4.53
242,2.11,6.42,22.12,4.54
243,2.11,6.44,22.12,4.54
244,2.26,6.90,22.12,4.53
245,2.74,8.36,22.12,4.55
246,2.10,6.40,22.12,4.54
247,2.12,6.47,22.12,4.54
248,2.60,7.92,22.12,4.53
249,1.62,4.95,22.12,4.52
250,2.11,6.44,22.12,4.54
251,2.14,6.51,22.12,4.54
252,2.55,7.77,22.12,4.56
253,1.30,3.97,22.12,4.52
254,2.57,7.84,22.12,4.55
255,2.23,6.81,22.19,4.54
256,2.21,6.74,22.12,4.54
257,2.31,7.04,22.12,4.54
258,2.24,6.83,22.12,4.54
259,2.25,6.86,22.12,4.54
260,1.90,5.78,22.12,4.54
261,2.26,6.89,22.12,4.54
262,2.22,6.78,22.12,4.55
263,1.98,6.04,22.12,4.54
264,2.04,6.23,22.12,4.55
265,2.18,6.65,22.19,4.54
266,2.08,6.35,22.19,4.54
267,2.31,7.05,22.12,4.55
268,2.12,6.45,22.12,4.55
269,2.29,6.98,22.12,4.54
270,2.09,6.38,22.12,4.54
271,1.90,5.78,22.12,4.54
272,2.84,8.68,22.19,4.55
273,2.29,6.98,22.12,4.56
274,2.06,6.29,22.12,4.54
275,2.41,7.36,22.12,4.55
