Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
1,1.87,5.69,22.12,4.90
2,1.85,5.63,22.12,4.90
3,1.96,5.98,22.12,4.90
4,1.67,5.10,22.19,4.89
5,1.64,4.99,22.19,4.87
6,1.95,5.95,22.19,4.80
7,2.23,6.80,22.25,4.48
8,2.51,7.66,22.25,4.42
9,2.91,8.87,22.25,4.41
10,1.61,4.90,22.25,4.40
11,0.70,2.15,22.25,4.58
12,2.61,7.96,22.25,4.56
13,0.43,1.31,22.25,4.57
14,1.81,5.53,22.25,4.58
15,1.74,5.29,22.25,4.57
16,0.60,1.83,22.25,4.56
17,2.02,6.17,22.25,4.58
18,1.80,5.49,22.25,4.57
19,1.94,5.90,22.25,4.58
20,2.81,8.57,22.25,4.58
21,2.87,8.75,22.25,4.62
22,1.81,5.52,22.25,4.59
23,1.93,5.89,22.25,4.62
24,2.60,7.92,22.25,4.52
25,2.75,8.38,22.25,4.55
26,1.94,5.92,22.25,4.57
27,1.96,5.96,22.25,4.59
28,1.58,4.82,22.25,4.53
29,0.51,1.57,22.25,4.62
30,1.19,3.62,22.25,4.63
31,1.76,5.38,22.25,4.59
32,1.85,5.65,22.25,4.60
33,1.81,5.52,22.25,4.61
34,1.82,5.55,22.25,4.60
35,2.04,6.23,22.25,4.58
36,1.46,4.46,22.25,4.60
37,2.22,6.77,22.25,4.53
38,2.41,7.35,22.25,4.54
39,1.84,5.61,22.25,4.58
40,1.93,5.87,22.25,4.58
41,1.68,5.11,22.25,4.60
42,1.76,5.38,22.25,4.61
43,2.05,6.26,22.25,4.59
44,0.57,1.73,22.25,4.67
45,2.52,7.69,22.25,4.57
46,1.74,5.31,22.25,4.60
47,1.79,5.47,22.25,4.60
48,1.74,5.32,22.25,4.60
49,2.04,6.22,22.25,4.62
50,1.74,5.31,22.25,4.63
51,2.53,7.72,22.25,4.58
52,1.99,6.07,22.25,4.60
53,1.84,5.62,22.25,4.59
54,1.36,4.14,22.25,4.61
55,1.64,4.99,22.25,4.60
56,2.13,6.50,22.25,4.60
57,0.51,1.55,22.25,4.61
58,1.87,5.71,22.25,4.60
59,1.74,5.29,22.25,4.60
60,1.77,5.41,22.25,4.59
61,1.74,5.31,22.31,4.60
62,1.91,5.81,22.25,4.65
63,2.38,7.26,22.25,4.59
64,1.30,3.98,22.31,4.61
65,1.72,5.23,22.31,4.60
66,1.87,5.69,22.31,4.61
67,1.65,5.04,22.31,4.59
68,1.52,4.62,22.31,4.66
69,1.93,5.87,22.31,4.69
70,0.63,1.91,22.31,4.64
71,1.82,5.56,22.31,4.60
72,1.77,5.40,22.31,4.60
73,1.74,5.32,22.31,4.60
74,1.78,5.43,22.31,4.61
75,1.72,5.25,22.31,4.60
76,1.78,5.44,22.31,4.60
77,1.74,5.29,22.31,4.60
78,2.54,7.74,22.31,4.60
79,1.58,4.82,22.31,4.59
80,0.85,2.58,22.31,4.59
81,2.99,9.11,22.31,4.60
82,2.81,8.56,22.31,4.61
83,1.14,3.47,22.31,4.61
84,1.86,5.68,22.25,4.60
85,2.02,6.16,22.31,4.60
86,1.86,5.66,22.31,4.59
87,1.69,5.14,22.31,4.60
88,2.06,6.29,22.31,4.61
89,0.97,2.97,22.31,4.59
90,2.11,6.44,22.31,4.61
91,1.36,4.14,22.31,4.59
92,2.54,7.74,22.31,4.59
93,2.28,6.96,22.31,4.60
94,1.91,5.83,22.31,4.60
95,2.21,6.74,22.31,4.61
96,2.40,7.33,22.31,4.61
97,1.59,4.86,22.31,4.60
98,1.80,5.49,22.31,4.60
99,2.34,7.13,22.31,4.63
100,1.71,5.22,22.31,4.60
101,0.52,1.60,22.31,4.63
102,1.26,3.85,22.31,4.57
103,2.20,6.72,22.31,4.58
104,1.57,4.80,22.31,4.61
105,1.73,5.26,22.31,4.60
106,1.79,5.47,22.31,4.57
107,1.17,3.56,22.31,4.61
108,1.88,5.72,22.31,4.60
109,1.73,5.26,22.31,4.62
110,1.90,5.78,22.31,4.59
111,1.65,5.04,22.31,4.60
112,1.90,5.78,22.31,4.60
113,1.39,4.25,22.31,4.60
114,1.76,5.37,22.31,4.59
115,2.22,6.77,22.31,4.60
116,1.35,4.13,22.31,4.59
117,1.12,3.41,22.31,4.58
118,2.24,6.83,22.31,4.61
119,2.23,6.81,22.31,4.61
120,1.33,4.07,22.31,4.60
121,1.87,5.71,22.31,4.59
122,1.89,5.77,22.31,4.59
123,2.17,6.63,22.31,4.58
124,1.67,5.08,22.31,4.60
125,2.03,6.19,22.31,4.59
126,1.48,4.50,22.31,4.57
127,1.54,4.70,22.31,4.61
128,1.89,5.75,22.31,4.56
129,2.05,6.26,22.31,4.59
130,1.82,5.56,22.31,4.57
131,1.76,5.37,22.31,4.59
132,2.62,7.99,22.31,4.62
133,2.58,7.87,22.31,4.62
134,1.81,5.53,22.31,4.56
135,2.34,7.13,22.31,4.59
136,0.64,1.94,22.31,4.55
137,1.41,4.31,22.31,4.62
138,2.42,7.39,22.31,4.59
139,1.77,5.40,22.31,4.59
140,1.80,5.50,22.31,4.61
141,1.82,5.56,22.31,4.60
142,1.75,5.34,22.31,4.61
143,1.64,5.01,22.31,4.61
144,1.76,5.37,22.31,4.59
145,1.82,5.56,22.31,4.60
146,1.90,5.78,22.31,4.60
147,1.82,5.56,22.31,4.61
148,1.71,5.20,22.31,4.60
